C-id,Country,All Players,Registered players,Unregistered Players,Clubs,Officials
39,Congo DR,"2,515,600","77,600","2,438,000",770,"10,600"
41,Costa Rica,"1,084,588","50,588","1,034,000",254,"4,866"
42,C™te d'Ivoire,"801,700","23,200","778,500",220,"4,500"
43,Croatia,"362,514","109,799","252,715","1,464","17,488"
44,Cuba,"1,141,825","46,425","1,095,400",353,"5,255"
45,Cyprus,"52,403","19,203","33,200",108,"2,200"
46,Czech Republic,"1,040,357","686,257","354,100","4,108","12,881"
47,Denmark,"511,333","301,333","210,000","2,383","56,992"
48,Djibouti,"36,320","2,520","33,800",8,480
49,Dominica,"4,500","1,300","3,200",21,139
50,Dominican Republic,"501,004","50,004","451,000",350,"1,610"
51,Ecuador,"1,029,655","30,855","998,800",201,"4,455"
52,Egypt,"3,138,110","52,110","3,086,000",608,"18,270"
53,El Salvador,"459,692","47,792","411,900",70,"5,853"
54,Equatorial Guinea,"25,590","2,290","23,300",22,115
55,Eritrea,"381,218","28,218","353,000",26,"1,553"
56,Estonia,"57,024","9,324","47,700",152,662
57,Ethiopia,"3,474,245","56,245","3,418,000","1,004","310,600"
58,Faroe Islands,"8,094","5,694","2,400",40,"1,050"
59,Fiji,"49,688","30,088","19,600",410,"3,046"
60,Finland,"362,649","148,649","214,000","1,260","16,955"
61,France,"4,190,040","1,794,940","2,395,100","20,062","285,723"
62,FYR Macedonia,"93,896","22,896","71,000",472,"1,865"
63,Gabon,"69,800","8,300","61,500",60,"1,000"
64,Gambia,"68,030","4,530","63,500",51,700
65,Georgia,"222,186","26,786","195,400",209,"1,233"
66,Germany,"16,308,946","6,308,946","10,000,000","26,837","159,172"
67,Ghana,"987,500","27,500","960,000",280,"5,200"
68,Greece,"760,621","359,221","401,400","5,768","13,330"
69,Grenada,"6,682","1,652","5,030",20,150
70,Guatemala,"2,006,649","154,649","1,852,000",139,"5,403"
71,Guinea,"410,100","18,100","392,000",150,"2,833"
72,Guinea-Bissau,"71,900","2,400","69,500",40,400
73,Guyana,"50,740","8,940","41,800",98,745
74,Haiti,"451,724","24,424","427,300",340,"2,324"
75,Honduras,"420,600","61,300","359,300",227,"6,800"
76,Hong Kong,"149,956","4,176","145,780",84,"1,059"
77,Hungary,"527,326","127,226","400,100","2,778","10,765"
78,Iceland,"32,408","21,508","10,900",145,"1,794"
79,India,"20,587,900","384,900","20,203,000","6,540","38,640"
80,Indonesia,"7,094,260","66,960","7,027,300",83,"1,069"
81,Iran,"1,806,544","449,644","1,356,900",120,"25,800"
82,Iraq,"540,000","16,000","524,000",110,"2,900"
83,Israel,"283,866","43,866","240,000",290,"12,150"
84,Italy,"4,980,296","1,513,596","3,466,700","16,697","78,481"
85,Jamaica,"168,494","25,594","142,900",274,"5,037"
86,Japan,"4,805,150","1,045,150","3,760,000","2,000","249,603"
87,Jordan,"121,191","4,941","116,250",102,"6,231"
88,Kazakhstan,"510,420","27,820","482,600",45,"3,160"
89,Kenya,"2,041,102","75,102","1,966,000",711,"52,010"
90,Korea DPR,"502,912","14,912","488,000",239,"1,858"
91,Korea Republic,"1,094,227","31,127","1,063,100",100,"4,648"
92,Kuwait,"45,800","2,200","43,600",40,400
93,Kyrgyzstan,"124,477","8,977","115,500",100,"1,494"
94,Laos,"108,600","2,600","106,000",50,420
95,Latvia,"85,285","8,385","76,900",97,655
96,Lebanon,"318,485","18,485","300,000",178,"3,495"
97,Lesotho,"110,000","29,500","80,500",110,"2,300"
98,Liberia,"163,267","9,267","154,000",47,656
99,Libya,"263,800","8,800","255,000",110,"2,400"
100,Liechtenstein,"3,315","2,205","1,110",10,274
101,Lithuania,"135,874","15,774","120,100",65,"1,565"
102,Luxembourg,"47,580","32,480","15,100",135,"1,314"
103,Macau,"14,123","4,773","9,350",96,754
104,Madagascar,"826,420","30,420","796,000",220,"4,788"
105,Malawi,"515,800","20,100","495,700",70,"2,400"
106,Malaysia,"585,730","9,930","575,800",110,"11,810"
107,Maldives,"20,286","5,486","14,800",60,178
108,Mali,"1,391,625","14,175","1,377,450",140,"6,078"
109,Malta,"24,853","10,753","14,100",61,"2,204"
110,Mauritania,"137,920","5,620","132,300",68,877
111,Mauritius,"76,800","17,100","59,700",70,"4,500"
112,Mexico,"8,479,595","324,595","8,155,000",311,"85,789"
